Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
# 674, Balls: Green, White, Black, Black
# 675, Balls: White, White, Black, White
# 676, Balls: Black, Blue, Blue, Green
# 677, Balls: Blue, Black, Black, Black
# 678, Balls: Blue, Black, White, Green
# 679, Balls: Green, Black, Red, Green
# 680, Balls: White, Black, Blue, White
# 681, Balls: Black, Red, White, Black
# 682, Balls: Green, Green, Black, White
# 683, Balls: Black, Black, Green, White
# 684, Balls: Blue, White, White, White
# 685, Balls: Blue, Green, Blue, Red
# 686, Balls: Black, White, Green, White
# 687, Balls: Blue, Blue, Green, Blue
# 688, Balls: Blue, Blue, Blue, Blue
# 689, Balls: Blue, White, Blue, Red
# 690, Balls: Red, Green, Black, Blue
# 691, Balls: Black, Blue, Black, Black
# 692, Balls: Red, Black, Blue, Black
# 693, Balls: White, Blue, Red, White
# 694, Balls: Black, Blue, Blue, Black
# 695, Balls: Blue, Black, White, Green
# 696, Balls: White, Red, Red, White
# 697, Balls: Black, Red, Black, Green
# 698, Balls: White, Blue, Black, Red
# 699, Balls: White, Red, Black, Red
# 700, Balls: White, Blue, Black, Black
# 701, Balls: Black, White, Green, Black
# 702, Balls: Red, White, Blue, Black
# 703, Balls: Black, Black, Blue, Red
# 704, Balls: Black, Green, Green, White
# 705, Balls: White, Black, Blue, Blue
# 706, Balls: Green, Black, Black, Green
# 707, Balls: Green, Green, Blue, Black
# 708, Balls: Blue, Blue, Green, Black
# 709, Balls: Black, Red, Black, Black
# 710, Balls: Black, Red, White, Green
# 711, Balls: Black, Green, Black, Blue
# 712, Balls: Black, Blue, Green, Blue
# 713, Balls: Black, Black, White, Red
# 714, Balls: Blue, White, Black, White
# 715, Balls: Red, Red, Blue, Blue
# 716, Balls: Red, Red, Black, Black
# 717, Balls: Blue, Red, Green, Black
# 718, Balls: Black, Blue, Green, Blue
# 719, Balls: White, Black, Black, White
# 720, Balls: White, Green, White, Blue
# 721, Balls: Red, Red, Red, Red
# 722, Balls: White, Black, Blue, White
# 723, Balls: Green, Green, Blue, Blue
# 724, Balls: Green, Blue, Blue, Black
# 725, Balls: Black, Black, Blue, Black
# 726, Balls: White, Black, Black, Green
# 727, Balls: Black, Red, Blue, Green
# 728, Balls: Green, Blue, Black, Green
# 729, Balls: Red, White, Green, Blue
# 730, Balls: Black, Black, Green, Black
# 731, Balls: Green, Blue, White, Green
# 732, Balls: White, Blue, Red, White
# 733, Balls: Green, Green, Blue, Green
# 734, Balls: Blue, Red, White, Green
# 735, Balls: White, Green, White, Blue
# 736, Balls: Black, Black, Black, Green
# 737, Balls: Green, White, Black, White
# 738, Balls: White, White, Black, White
# 739, Balls: Green, Black, White, Red
# 740, Balls: Green, Black, Blue, Red
# 741, Balls: Green, White, Blue, Blue
# 742, Balls: Blue, Blue, Black, Red
# 743, Balls: White, Red, Blue, Green
# 744, Balls: Black, Black, Blue, Blue
# 745, Balls: Blue, Blue, Green, Red
# 746, Balls: Green, Red, Blue, Green
# 747, Balls: White, Green, White, Red
# 748, Balls: Blue, Blue, Blue, Black
# 749, Balls: Black, Green, Red, Black
# 750, Balls: White, Blue, Blue, Black
# 751, Balls: Red, Green, Red, Red
# 752, Balls: White, Red, Black, White
# 753, Balls: Blue, Green, Green, Black
# 754, Balls: Blue, Green, Black, Blue
# 755, Balls: White, Red, Green, Blue
# 756, Balls: White, White, Black, White
# 757, Balls: Black, Blue, Red, Red
# 758, Balls: Black, White, Green, Green
# 759, Balls: Green, Black, White, White
# 760, Balls: Blue, White, Blue, Blue
# 761, Balls: White, Black, White, Blue
# 762, Balls: White, White, Green, Black
# 763, Balls: Black, Red, Blue, Red
# 764, Balls: Red, Green, Red, Black
# 765, Balls: Green, Red, Red, Black
# 766, Balls: Blue, Green, Green, Green
# 767, Balls: Black, Black, Black, Red
# 768, Balls: Blue, White, Blue, White
# 769, Balls: Black, White, Red, Black
# 770, Balls: Red, Red, Black, Red
# 771, Balls: White, Red, Blue, Red
# 772, Balls: Green, Black, Blue, Black
# 773, Balls: Black, Black, Blue, White
# 774, Balls: Black, Black, Blue, Blue
# 775, Balls: White, Black, Blue, Red
# 776, Balls: Green, Green, Green, Red
# 777, Balls: Black, Red, Green, White
# 778, Balls: White, Red, Red, Red
# 779, Balls: Black, Black, Blue, Blue
# 780, Balls: Red, White, Green, Blue
# 781, Balls: Blue, Black, Red, Red
# 782, Balls: Green, Black, Green, White
# 783, Balls: White, Blue, Blue, White
# 784, Balls: Black, Black, Blue, Blue
# 785, Balls: Blue, Blue, Green, Blue
# 786, Balls: White, White, White, Black
# 787, Balls: Black, Red, Blue, Blue
# 788, Balls: Red, Black, Green, Green
# 789, Balls: Blue, Blue, White, White
# 790, Balls: Blue, Blue, Black, Green
# 791, Balls: Black, Black, Black, Blue
# 792, Balls: Blue, Blue, Red, Blue
# 793, Balls: Blue, Black, Red, Blue
# 794, Balls: Red, White, Green, Green
# 795, Balls: Green, Green, Blue, Blue
# 796, Balls: Blue, Black, Black, Black
# 797, Balls: Black, Green, Blue, Green
# 798, Balls: White, White, White, Blue
# 799, Balls: Black, Blue, Black, Black
# 800, Balls: Black, White, Green, Green
# 801, Balls: Blue, White, White, Blue
# 802, Balls: Blue, Black, Blue, Blue
# 803, Balls: Black, Black, Red, Black
# 804, Balls: White, White, Red, Blue
# 805, Balls: Red, Blue, Blue, Blue
# 806, Balls: Green, Black, Black, Black
# 807, Balls: Blue, Black, Blue, Blue
# 808, Balls: Green, Red, Black, Blue
# 809, Balls: Blue, Black, Green, Green
# 810, Balls: White, White, Blue, Black
# 811, Balls: Blue, Black, Red, Black
# 812, Balls: Black, Red, Black, Black
# 813, Balls: Blue, Black, White, Black
# 814, Balls: Green, Blue, Blue, Blue
# 815, Balls: Blue, Blue, Green, Black
# 816, Balls: White, Blue, Black, Black
# 817, Balls: Red, Black, Black, Red
# 818, Balls: Red, Black, Black, White
# 819, Balls: Green, White, Green, Blue
# 820, Balls: Black, Black, Green, Green
# 821, Balls: Green, Black, Blue, Green
# 822, Balls: White, Black, White, Blue
# 823, Balls: Green, Red, Red, Black
# 824, Balls: Black, Blue, Green, Green
# 825, Balls: Red, Green, Green, Green
# 826, Balls: Blue, Blue, Black, Blue
# 827, Balls: Black, Blue, Red, Black
# 828, Balls: Green, Blue, Blue, Blue
# 829, Balls: Red, White, Red, Red
# 830, Balls: Red, Green, Blue, Red
# 831, Balls: Blue, Blue, Blue, Blue
# 832, Balls: Blue, Blue, Green, Green
# 833, Balls: Blue, Blue, Black, Black
# 834, Balls: White, Green, Green, Black
# 835, Balls: Black, Green, Blue, Blue
# 836, Balls: Green, White, Black, Black
# 837, Balls: Green, Green, Red, Green
# 838, Balls: Blue, Green, Black, Black
# 839, Balls: White, Blue, White, White
# 840, Balls: Blue, White, White, Blue
# 841, Balls: Red, Black, Red, White
# 842, Balls: White, Black, Green, Blue
# 843, Balls: Green, Blue, Blue, Blue
# 844, Balls: Blue, Black, Blue, Black
# 845, Balls: Black, White, Black, Black
# 846, Balls: Red, Blue, Red, Red
# 847, Balls: White, Black, Black, Blue
# 848, Balls: Black, Black, Green, Black
# 849, Balls: White, Blue, Red, Blue
# 850, Balls: Blue, Blue, Blue, Green
# 851, Balls: Black, Green, Blue, Blue
# 852, Balls: White, Red, Blue, White
# 853, Balls: Red, Blue, Blue, White
# 854, Balls: Red, Red, Black, Black
# 855, Balls: White, Black, Red, White
# 856, Balls: Black, Blue, Green, Black
# 857, Balls: Blue, Blue, Green, Green
# 858, Balls: Black, Red, White, White
# 859, Balls: Green, Blue, Green, Red
# 860, Balls: Black, Green, Black, Black
# 861, Balls: Blue, White, White, Green
# 862, Balls: Black, Blue, Green, Blue
# 863, Balls: Black, Black, Green, Black
# 864, Balls: Red, Black, Red, White
# 865, Balls: Black, Red, Red, White
# 866, Balls: Green, Green, Blue, Green
# 867, Balls: Blue, Green, Green, Red
# 868, Balls: Blue, Blue, Green, White
# 869, Balls: White, White, Red, Blue
# 870, Balls: White, White, Blue, Blue
# 871, Balls: White, Red, Blue, Blue
# 872, Balls: White, Green, Black, White
# 873, Balls: White, Green, White, White
# 874, Balls: Blue, Green, White, Green
# 875, Balls: White, Black, Green, Blue
# 876, Balls: Blue, Blue, White, Red
# 877, Balls: Blue, Red, Blue, Black
# 878, Balls: White, Black, White, Red
# 879, Balls: Red, White, Green, Blue
# 880, Balls: Blue, Black, Green, Black
# 881, Balls: Blue, Blue, Black, Black
# 882, Balls: Green, Black, White, Black
# 883, Balls: Red, Red, Blue, Green
# 884, Balls: Black, Blue, Blue, Green
# 885, Balls: Blue, Blue, Blue, Blue
# 886, Balls: Green, Blue, Green, Black
# 887, Balls: White, Blue, White, Black
# 888, Balls: Black, White, Black, Blue
# 889, Balls: Blue, Red, Blue, Red
# 890, Balls: White, Green, Red, White
# 891, Balls: Green, White, Black, Blue
# 892, Balls: White, Blue, Blue, Green
# 893, Balls: Green, White, White, Red
# 894, Balls: Blue, Blue, Black, Blue
# 895, Balls: White, Green, Black, Red
# 896, Balls: White, Green, Black, Red
# 897, Balls: Green, White, White, Blue
# 898, Balls: Blue, Blue, Blue, Green
# 899, Balls: White, Black, Black, White
# 900, Balls: White, Red, White, Black
# 901, Balls: Black, Blue, Blue, White
# 902, Balls: Green, Black, Green, Black
# 903, Balls: White, Blue, White, Black
# 904, Balls: Black, Green, Black, Red
# 905, Balls: Blue, Green, Red, Blue
# 906, Balls: Blue, White, Red, Black
# 907, Balls: Blue, Black, Blue, Blue
# 908, Balls: Blue, Black, White, Black
# 909, Balls: White, Blue, Green, White
# 910, Balls: Blue, Blue, Blue, Black
# 911, Balls: Blue, Black, White, Green
# 912, Balls: Black, Blue, White, Blue
# 913, Balls: Blue, Black, Red, Black
# 914, Balls: Black, Black, Red, Black
# 915, Balls: Blue, Green, Green, White
# 916, Balls: Blue, Black, Red, White
# 917, Balls: Blue, Black, Black, White
# 918, Balls: Blue, Black, Green, White
# 919, Balls: Blue, Blue, Green, White
# 920, Balls: White, Black, Black, Red
# 921, Balls: Red, White, Green, Blue
# 922, Balls: Black, Green, Black, Green
# 923, Balls: Blue, Blue, Green, White
# 924, Balls: Black, Green, Blue, White
# 925, Balls: Blue, Blue, Black, Red
# 926, Balls: Black, Black, Green, Black
# 927, Balls: Blue, Blue, White, White
# 928, Balls: Blue, Black, White, Blue
# 929, Balls: White, White, Red, Blue
# 930, Balls: White, White, Black, Red
# 931, Balls: Red, Blue, Blue, White
# 932, Balls: Black, Green, Red, White
# 933, Balls: Red, Black, White, Black
# 934, Balls: Blue, Green, Green, Blue
# 935, Balls: Red, Green, White, Green
# 936, Balls: White, White, Blue, Black
# 937, Balls: Green, Black, Blue, Black
# 938, Balls: Black, Red, Red, White
# 939, Balls: Green, White, Green, White
# 940, Balls: Blue, Red, Green, Blue
# 941, Balls: Green, White, White, Black
# 942, Balls: Black, Blue, Black, Black
# 943, Balls: Red, Red, Green, Blue
# 944, Balls: Green, Red, Green, Red
# 945, Balls: Black, Green, Blue, Black
# 946, Balls: Blue, Black, Black, Blue
# 947, Balls: Black, Black, Green, Blue
# 948, Balls: Black, Blue, Blue, Green
# 949, Balls: Red, Blue, Red, Red
# 950, Balls: Black, White, Blue, Black
# 951, Balls: Green, Blue, Black, White
# 952, Balls: Blue, Black, Blue, Green
# 953, Balls: Blue, Blue, Blue, Black
# 954, Balls: White, Blue, Blue, Black
# 955, Balls: Red, Red, Black, Black
# 956, Balls: White, Green, White, Blue
# 957, Balls: Blue, Green, White, Green
# 958, Balls: Blue, Red, Black, Green
# 959, Balls: White, Black, Green, Black
# 960, Balls: White, Green, Green, Blue
# 961, Balls: Red, Black, Green, Blue
# 962, Balls: White, Black, Black, Green
# 963, Balls: Blue, Blue, Blue, White
# 964, Balls: Blue, Black, Blue, Black
# 965, Balls: Black, Green, Green, Green
# 966, Balls: White, White, White, Blue
# 967, Balls: Green, White, Red, White
# 968, Balls: White, Black, Black, Black
# 969, Balls: White, Black, Blue, Blue
# 970, Balls: Green, Green, Blue, Blue
# 971, Balls: Blue, White, White, Black
# 972, Balls: Blue, Blue, Green, White
# 973, Balls: Red, Blue, Blue, Red
# 974, Balls: White, Black, Red, Blue
# 975, Balls: Blue, Green, Blue, White
# 976, Balls: Black, Green, Black, Black
# 977, Balls: White, Black, Black, Blue
# 978, Balls: Blue, Blue, White, Blue
# 979, Balls: Red, Black, Black, Red
# 980, Balls: White, Green, Red, Black
# 981, Balls: Green, Blue, White, White
# 982, Balls: Blue, Blue, Blue, Black
# 983, Balls: Blue, Black, Green, Blue
# 984, Balls: White, Black, Red, White
# 985, Balls: Green, Blue, Blue, Green
# 986, Balls: Green, Black, Green, Green
# 987, Balls: Blue, Green, Blue, Black
# 988, Balls: Blue, Green, Black, Green
# 989, Balls: Green, Black, Blue, Green
# 990, Balls: Black, Black, White, Green
# 991, Balls: Blue, Blue, Red, Black
# 992, Balls: Black, White, Black, Black
# 993, Balls: Green, White, Black, Red
# 994, Balls: Blue, Green, Black, Blue
# 995, Balls: Black, White, Blue, Blue
# 996, Balls: Blue, Black, White, Red
# 997, Balls: Red, Blue, Red, Blue
# 998, Balls: White, White, Green, White
# 999, Balls: Green, Green, White, Blue
# 1000, Balls: Green, Green, Green, Black
# 1001, Balls: White, Blue, Black, Blue
# 1002, Balls: White, White, White, Green
# 1003, Balls: Green, Blue, Blue, Blue
# 1004, Balls: Blue, Black, Green, White
# 1005, Balls: Black, Black, Blue, Blue
# 1006, Balls: White, Green, Black, Black
# 1007, Balls: Red, Black, Black, White
# 1008, Balls: White, Green, White, Black
# 1009, Balls: Blue, Black, White, Black
# 1010, Balls: Green, Black, Black, Green
# 1011, Balls: Blue, White, Green, Black
# 1012, Balls: Black, Blue, Green, Green
# 1013, Balls: Blue, Blue, Green, Black
# 1014, Balls: Black, Black, White, Blue
# 1015, Balls: Blue, Green, Red, Black
# 1016, Balls: Blue, Black, Black, Black
# 1017, Balls: Red, White, White, Black
# 1018, Balls: White, Blue, Black, Blue
# 1019, Balls: Green, Blue, Green, White
# 1020, Balls: Green, Green, Blue, Blue
# 1021, Balls: Black, Green, Blue, Green
# 1022, Balls: Green, White, Green, Red
# 1023, Balls: Green, Red, Blue, White
# 1024, Balls: Blue, Black, Red, Green
# 1025, Balls: Blue, Blue, Black, Black
# 1026, Balls: Blue, White, Black, Blue
# 1027, Balls: Green, Red, Blue, Red
# 1028, Balls: Blue, Blue, Red, Red
# 1029, Balls: Black, Blue, Red, Blue
# 1030, Balls: Black, Red, Red, Green
# 1031, Balls: Black, Blue, Blue, Black
# 1032, Balls: Black, Blue, Blue, Red
# 1033, Balls: Black, Black, Blue, Red
# 1034, Balls: Red, Green, Black, Green
# 1035, Balls: White, Blue, Black, Green
# 1036, Balls: Black, Black, Blue, Black
# 1037, Balls: Green, White, White, White
# 1038, Balls: Blue, White, Black, Blue
# 1039, Balls: Green, Red, Black, Black
# 1040, Balls: Red, Black, Black, Black
# 1041, Balls: Blue, Black, Blue, Red
# 1042, Balls: Green, Blue, Blue, Blue
# 1043, Balls: White, White, Red, Black
# 1044, Balls: Blue, White, Black, Blue
# 1045, Balls: Green, Black, Red, Blue
# 1046, Balls: Red, Black, Blue, Green
# 1047, Balls: Red, White, Blue, White
# 1048, Balls: Blue, Blue, Black, Blue
# 1049, Balls: Green, Black, Red, Black
# 1050, Balls: Blue, White, White, White
# 1051, Balls: Red, Blue, Red, Red
# 1052, Balls: Black, Black, Black, White
# 1053, Balls: Green, White, Green, White
# 1054, Balls: Green, Blue, Green, White
# 1055, Balls: Blue, Blue, Blue, White
# 1056, Balls: Red, Black, Blue, Green
# 1057, Balls: Black, Red, Red, Blue
# 1058, Balls: Red, Black, Green, White
# 1059, Balls: White, White, White, Blue
# 1060, Balls: Green, Blue, Black, Black
# 1061, Balls: Black, Black, Black, Green
# 1062, Balls: White, Black, Blue, Blue
# 1063, Balls: Black, Black, Black, Black
# 1064, Balls: Green, Blue, White, White
# 1065, Balls: Blue, Blue, Blue, Green
# 1066, Balls: Green, Green, Blue, Green
# 1067, Balls: Black, Black, Blue, Green
# 1068, Balls: Blue, White, White, Blue
# 1069, Balls: Red, Red, Black, Red
# 1070, Balls: White, Black, White, Green
# 1071, Balls: White, Black, White, Black
# 1072, Balls: Black, Black, Blue, Blue
# 1073, Balls: Black, Red, Blue, Green
# 1074, Balls: White, White, White, White
# 1075, Balls: Green, Blue, Red, Blue
# 1076, Balls: Blue, Green, Red, Black
# 1077, Balls: Green, White, Green, Green
# 1078, Balls: Blue, Green, Green, Blue
# 1079, Balls: Blue, Green, Red, Red
# 1080, Balls: White, White, Green, White
# 1081, Balls: Black, Green, Red, Green
# 1082, Balls: Black, White, Black, Red
# 1083, Balls: Green, Blue, White, White
# 1084, Balls: Blue, Green, Green, Black
# 1085, Balls: Red, Blue, Black, Blue
# 1086, Balls: Green, Blue, Black, White
# 1087, Balls: Blue, Blue, Black, Green
# 1088, Balls: Blue, Green, Black, Blue
# 1089, Balls: White, Blue, White, Green
# 1090, Balls: Green, Black, Green, Black
# 1091, Balls: Black, Green, Red, Blue
# 1092, Balls: White, Blue, White, White
# 1093, Balls: Red, Green, Black, Red
# 1094, Balls: Black, Green, Red, Blue
# 1095, Balls: Blue, Black, Blue, Blue
# 1096, Balls: Green, Blue, Blue, Green
# 1097, Balls: Black, White, White, White
# 1098, Balls: White, Blue, White, Blue
# 1099, Balls: Black, Green, Red, Red
# 1100, Balls: Green, Black, Red, Green
# 1101, Balls: White, White, Green, White
# 1102, Balls: Green, Green, Black, Green
# 1103, Balls: Green, Green, White, Blue
# 1104, Balls: Black, Blue, Black, Green
# 1105, Balls: Black, Blue, Black, Green
# 1106, Balls: Green, Green, Blue, Black
# 1107, Balls: White, Red, Green, Blue
# 1108, Balls: Blue, Blue, Blue, Blue
# 1109, Balls: Blue, Blue, Green, White
# 1110, Balls: Black, White, Green, Black
# 1111, Balls: Black, Green, Blue, Red
# 1112, Balls: Green, Red, Red, Black
# 1113, Balls: Blue, Green, Blue, Green
# 1114, Balls: White, Green, Green, Blue
# 1115, Balls: White, Black, White, White
# 1116, Balls: Black, Blue, White, Green
# 1117, Balls: Black, Black, Blue, Blue
# 1118, Balls: White, Red, White, Black
# 1119, Balls: Green, Black, Green, Black
# 1120, Balls: Green, Red, Black, White
# 1121, Balls: Black, Black, Black, White
# 1122, Balls: Red, Red, Blue, White
# 1123, Balls: Red, Black, Black, Red
# 1124, Balls: Green, Red, Red, White
# 1125, Balls: Blue, Black, Blue, Blue
# 1126, Balls: Green, Green, Black, Green
# 1127, Balls: Black, Blue, Green, White
# 1128, Balls: Blue, Blue, Blue, Blue
# 1129, Balls: Green, Black, Red, Red
# 1130, Balls: Red, White, Black, Red
# 1131, Balls: Red, Red, Green, White
# 1132, Balls: Black, Green, Blue, Blue
# 1133, Balls: Black, Blue, Blue, White
# 1134, Balls: Black, Black, Black, Green
# 1135, Balls: Red, Red, Red, White
# 1136, Balls: White, Blue, Red, Blue
# 1137, Balls: Green, Green, White, Green
# 1138, Balls: Black, Blue, Black, Black
# 1139, Balls: White, Blue, Black, White
# 1140, Balls: White, Blue, White, Green
# 1141, Balls: Blue, Red, Green, Black
# 1142, Balls: White, Red, Black, White
# 1143, Balls: Green, Black, Blue, Green
